X,Y,Z
0.0,-1.5103505219538715e-14,-85.76189283997263
0.9950161785685084,-0.5744728585445761,-87.11505887076086
2.032920431674295,-1.173707158468259,-88.47840898525669
3.114291647104591,-1.7980371207908534,-89.84957399085596
4.239640038456918,-2.4477573174702316,-91.22612895296142
5.409405197306783,-3.1231215468208475,-92.60560095281366
6.6239545439718475,-3.8243419390620055,-93.98547670957845
7.883582160418813,-4.551588282496349,-95.36320999698837
9.188507984948032,-5.3049875585607875,-96.73622879541982
10.538877345295226,-6.084623672262662,-98.10194213085555
11.934760804663446,-6.890537363286249,-99.4577465624008
13.376154293874203,-7.722726282290255,-100.8010322896389
14.862979502219561,-8.581145216566368,-102.12918885993228
16.395084499604543,-9.46570644923336,-103.43961046365801
17.972244563095746,-10.376280236445131,-104.72970081224666
19.59416318193153,-11.312695387633637,-105.99687759973325
21.260473216304426,-12.274739934532205,-107.23857655333786
22.970738186711817,-13.262161875582496,-108.45225508241937
24.724453672300445,-14.274669983269108,-109.63539553804891
26.521048798340143,-15.311934662912897,-110.78550809750631
28.359887794685513,-16.373588852449277,-111.90013328930586
30.240271608782475,-17.45922895369797,-112.97684417499728
32.161439558398364,-18.56841578656719,-114.01324820404805
34.12257101078159,-19.700675558516885,-115.00698875768613
36.1227870763566,-20.85550084241403,-115.95574639674241
38.1611523063241,-22.032351556642542,-116.85723982734689
40.23667638464752,-23.230655941972117,-117.70922659686585
42.34831580586492,-24.449811530243405,-118.50950353076824
44.49497553095809,-25.68918610038447,-119.2559069192089
46.675510614145374,-26.94811861764008,-119.94631246005947
48.88872779393278,-28.22592015216544,-120.57863496290871
51.133387042063134,-29.521874773312486,-121.15082781621153
53.408203064142384,-30.835240416016813,-121.66088221728742
55.71184674569376,-32.16524971567748,-122.10682616225048
58.04294653718697,-33.511110807803966,-122.48672319016853
60.400089771209075,-34.872008088485124,-122.79867087278517
62.781823904367165,-36.24710293140208,-123.04079903794586
65.18665767573259,-37.6355343566562,-123.21126771141263
67.61306217262438,-39.0364196460996,-123.30826475796862
70.05947179326492,-40.44885489912451,-123.33000319853203
72.5242850942806,-41.87191552196808,-123.27471817533937
75.00586550912594,-43.304656642494734,-123.1406635320087
77.50254192121945,-44.74611344109631,-122.92610796933747
80.0126090728202,-46.19530138675704,-122.62933073086717
82.53432778736084,-47.6512163654176,-122.24861676438302
85.06592497896212,-49.1128346854683,-121.78225129637757
87.60559341805039,-50.5791129424283,-121.22851374582663
90.15149121619926,-52.04898772151884,-120.58567089106204
92.70174098628887,-53.52137511278084,-119.85196918865883
95.25442862553723,-54.99517000845793,-119.02562612557533
-0.9950161785685084,-0.5744728585445761,-87.11505887076086
0.0,-1.1638017061803914,-88.48539816989253
1.0379943461264733,-1.7780029451062789,-89.86545817006115
2.119551260511532,-2.417385222797021,-91.25286190799895
3.245186665891324,-3.082217110131556,-92.64517899327402
4.415346106724667,-3.77272609657231,-94.03993323713797
5.630403240681256,-4.48909780923289,-95.43461012760005
6.8906587051931725,-5.231475445423324,-96.82666408545768
8.196339338650375,-5.999959406263309,-98.21352544637293
9.547597733027242,-6.794607117465346,-99.59260712432881
10.94451209277167,-7.615433022378797,-100.96131092162327
12.387086373600752,-8.462408731809889,-102.31703345972753
13.875250674343416,-9.33546331494102,-103.657171713691
15.40886185504969,-10.234483715805597,-104.97912814018568
16.987704355155643,-11.159315280178477,-106.28031539571094
18.61149118644978,-12.109762378356804,-107.55816064688773
20.27986507683823,-13.085589110079216,-108.81010947919286
21.992399742370676,-14.08652007871588,-110.03362941396045
23.74860126658343,-15.11224122281112,-111.2262130460731
25.547909567883526,-16.162400694041953,-112.3853808165708
27.389699937369976,-17.236609771632136,-113.5086834354851
29.273284631134395,-18.334443804214942,-114.5937039706774
31.197914502650452,-19.455443171039803,-115.63805961837909
33.162780662336374,-20.59911425526134,-116.63940317059944
35.167016152723704,-21.764930422815333,-117.59542419364837
37.209697628882694,-22.952333001072976,-118.50384993077992
39.289847034823495,-24.160732252062587,-119.36244594045827
41.406433267510984,-25.389508335556837,-120.16901648002099
43.558373820891674,-26.63801225773917,-120.92140464260193
45.74453640293593,-27.90556680148711,-121.61749225310649
47.96374051914286,-29.191467434539945,-122.25519952681412
50.21475901624026,-30.494983191954557,-122.83248449183178
52.496319579935246,-31.81535752929512,-123.34734217412891
54.807106180528585,-33.15180914294634,-123.79780354124158
57.14576045999426,-34.50353275378526,-124.1819341979217
59.51088305373392,-35.86969985018523,-124.49783282399218
61.90103483963617,-37.249459385953514,-124.74362934142
64.31473810628187,-38.64193842830779,-124.91748279407865
66.75047763112036,-40.04624275036579,-125.01757891978453
69.20670165816959,-41.46145736183862,-125.04212738987924
71.68182276322403,-42.88664697065761,-124.98935868680309
74.17421859264866,-44.320856367102714,-124.85752058465384
76.68223245952822,-45.7631107205971,-124.64487419151604
79.20417377815897,-47.212415777645724,-124.3496895052163
81.73831831452122,-48.66775794737005,-123.97024042592066
84.28290822633247,-50.128104258651106,-123.50479915939106
86.83615186141208,-51.59240216995594,-122.95162993347665
89.39622327719627,-53.05957920937255,-122.3089819371649
91.96126143709391,-54.52854241807511,-121.57508137581159
94.52936903066826,-55.998177565206454,-120.74812251745423
-2.032920431674295,-1.173707158468259,-88.47840898525669
-1.0379943461264733,-1.7780029451062789,-89.86545817006115
0.0,-2.407262549934424,-91.26176036373626
1.0816525727371373,-3.061768912765356,-92.66493342621995
2.207485105009596,-3.7417645639010826,-94.07254403260515
3.3779492421177046,-4.447450734649185,-95.4821151577344
4.593425071841992,-5.178986684855972,-96.89113339167879
5.854220022242023,-5.936489236296987,-98.29705602516664
7.16056810676313,-6.7200324990149305,-99.69731785411092
8.512629493663592,-7.529647776432903,-101.08933766226042
9.910490374978753,-8.36532363425991,-102.47052435039338
11.354163109177142,-9.227006117800606,-103.83828268918448
12.843586611252094,-10.114599102230157,-105.19001868075215
14.378626964133812,-11.027964760639868,-106.52314452084687
15.95907822590911,-11.966924135145943,-107.83508315961615
17.584663408303083,-12.93125779702703,-109.12327246388637
19.255035603117765,-13.920706582664451,-110.38516898794951
20.96977923476104,-14.93497239295943,-111.61825136299139
22.72841141855658,-15.973719044850995,-112.82002331761748
24.530383406144644,-17.03657316452554,-113.98801634349408
26.375082100906894,-18.12312511286244,-115.1197920210173
28.261831627938246,-19.23292993458116,-116.21294402023075
30.189894944603722,-20.365508323421047,-117.2650997920175
32.15847547913977,-21.520347596487024,-118.27392196396755
34.166718786058986,-22.696902671618023,-119.23710945433764
36.21371420828915,-23.894597042278,-120.1523983162363
38.29849653700412,-25.11282374502345,-121.01756232263237
40.42004766098775,-26.35094631506759,-121.83041330104246
42.577298198099186,-27.608299725834456,-122.58880122482832
44.769129101987716,-28.884191308680137,-123.29061406596186
46.994373237626064,-30.17790164914789,-123.93377741189067
49.25181691949834,-31.48868545622211,-124.51625384677612
51.54020140638868,-32.81577240104994,-125.03604209487244
53.85822434666316,-34.15836792150624,-125.49117592114763
56.204541167717196,-35.5156539887839,-125.8797227814008
58.57776640286665,-36.886789831892905,-126.19978221107296
60.976474948373586,-38.27091261553664,-126.4494839386289
63.399203242510026,-39.66713806629555,-126.62698570576765
65.8444503575437,-41.074561041368966,-126.73047077272147
68.3106789942542,-42.4922560332881,-126.75814508245108
70.79631636701765,-43.91927760299337,-126.70823405255084
73.2997549655836,-45.35466073243625,-126.57897895801081
75.81935317734914,-46.79742108638072,-126.36863286151211
78.35343575113615,-48.24655517129673,-126.07545604048688
80.90029408010204,-49.70104037709466,-125.69771085153884
83.45818627733952,-51.15983488487205,-125.23365596274786
86.02533701279545,-52.62187742073525,-124.68153987255555
88.59993707417244,-54.08608683200196,-124.03959361996576
91.18014260721988,-55.55136145753117,-123.30602257421036
93.76407398196972,-57.016578258374885,-122.4789971722377
-3.114291647104591,-1.7980371207908534,-89.84957399085596
-2.119551260511532,-2.417385222797021,-91.25286190799895
-1.0816525727371373,-3.061768912765356,-92.66493342621995
0.0,-3.7314453819408135,-94.08340375577171
1.125934101172804,-4.426631170005706,-95.50583908061601
2.296607623425202,-5.147501385978543,-96.92976388564055
3.5124072751538646,-5.894189138753039,-98.3526681020158
4.773647507165514,-6.666785165523635,-99.77201401396407
6.080569779137664,-7.465337644828158,-101.18524287996742
7.433342143192128,-8.289852179886385,-102.58978123091205
8.832059120243333,-9.140291937284823,-103.98304681661652
10.276741843836884,-10.016577925806002,-105.36245418042932
11.76733844586455,-10.918589400272978,-106.725419848991
13.303724658734835,-11.846164375619011,-108.06936713074602
14.88570460920649,-12.79910023694806,-109.39173052234527
16.51301178006132,-13.777154432069105,-110.6899597266857
18.18531011701746,-14.780045233819507,-111.96152329003436
19.90219525969251,-15.807452560399744,-113.2039118685339
21.663195876940833,-16.859018842882154,-114.41464113643904
23.46777508846143,-17.934349930004746,-115.5912543497899
25.31533195614225,-19.033016021285647,-116.73132457994433
27.205203030143153,-20.15455262037983,-117.8324566315653
29.136663936180437,-21.298461501426544,-118.89228865936117
31.108930991846062,-22.464211681895648,-119.90849349717551
33.12116284104548,-23.65124039612165,-120.87877971198728
35.17246209676583,-24.858954064313647,-121.80089239406277
37.26187698337359,-26.08672925234011,-122.67261369294582
39.38840297048899,-27.333913618012065,-123.4917631072186
41.55098439118321,-28.59982683992015,-124.25619753403718
43.748516037798304,-29.883761525125184,-124.96381108236699
45.97984472909148,-31.18498409215402,-125.61253465161884
48.24377084265654,-32.50273562581213,-126.20033527501516
50.539049806673326,-33.836232700292726,-126.7252152244994
52.86439354497531,-35.18466816693171,-127.18521087131174
55.21847186919932,-36.54721190272755,-127.57839129347232
57.59991381138554,-37.923011515408085,-127.90285661830566
60.00730888980857,-39.31119300037134,-128.1567360847548
62.43920830003445,-40.71086134424535,-128.3381858065237
64.89412602217966,-42.12110106908471,-128.44538621297468
